timestamp,close
11/30/07,334.12
12/3/07,332.16
12/4/07,330.06
12/5/07,335.03
12/6/07,340.37
12/7/07,339.84
12/10/07,342.4
12/11/07,333.57
12/12/07,335.5
12/13/07,335.82
12/14/07,331.06
12/17/07,326
12/18/07,328.18
12/19/07,327.78
12/20/07,329.66
12/21/07,335.22
12/24/07,338.04
12/26/07,338.22
12/27/07,333.23
12/28/07,333.64
12/31/07,331.37
1/2/08,326.67
1/3/08,326.37
1/4/08,318.16
1/7/08,319.05
1/8/08,312.98
1/9/08,317
1/10/08,319.55
1/11/08,315.12
1/14/08,318.54
1/15/08,310.68
1/16/08,309.07
1/17/08,300.11
1/18/08,298.33
1/22/08,295.29
1/23/08,301.76
1/24/08,304.75
1/25/08,300.17
1/28/08,305.61
1/29/08,307.52
1/30/08,305.84
1/31/08,311.21
2/1/08,315.42
2/4/08,312.18
2/5/08,302.32
2/6/08,299.88
2/7/08,302.37
2/8/08,301.25
2/11/08,302.98
2/12/08,305.05
2/13/08,309.26
2/14/08,304.95
2/15/08,305.06
2/19/08,304.86
2/20/08,307.57
2/21/08,303.55
2/22/08,305.82
2/25/08,310.27
2/26/08,312.53
2/27/08,312.12
2/28/08,309.26
2/29/08,300.79
3/3/08,300.96
3/4/08,299.86
3/5/08,301.43
3/6/08,294.63
3/7/08,292.16
3/10/08,287.45
3/11/08,298.04
3/12/08,295.44
3/13/08,297.3
3/14/08,291.15
3/17/08,288.18
3/18/08,300.38
3/19/08,293.06
3/20/08,299.96
3/24/08,304.86
3/25/08,305.78
3/26/08,303.16
3/27/08,299.61
3/28/08,297.17
3/31/08,298.96
4/1/08,309.58
4/2/08,309.2
4/3/08,309.68
4/4/08,309.98
4/7/08,310.45
4/8/08,309.02
4/9/08,306.21
4/10/08,307.83
4/11/08,301.56
4/14/08,300.57
4/15/08,302.01
4/16/08,309.09
4/17/08,309.08
4/18/08,314.62
4/21/08,314.11
4/22/08,311.11
4/23/08,312.04
4/24/08,314.16
4/25/08,316.43
4/28/08,316.25
4/29/08,314.89
4/30/08,313.75
5/1/08,319.02
5/2/08,319.92
5/5/08,318.58
5/6/08,320.98
5/7/08,315.37
5/8/08,316.62
5/9/08,314.75
5/12/08,318.3
5/13/08,318.44
5/14/08,319.62
5/15/08,323.03
5/16/08,323.44
5/19/08,323.59
5/20/08,320.84
5/21/08,315.76
5/22/08,316.65
5/23/08,312.53
5/27/08,314.78
5/28/08,316.16
5/29/08,317.83
5/30/08,318.49
6/2/08,315.21
6/3/08,313.58
6/4/08,313.63
6/5/08,319.89
6/6/08,310.14
6/9/08,310.27
6/10/08,309.39
6/11/08,304.11
6/12/08,305.03
6/13/08,309.68
6/16/08,310.05
6/17/08,308.12
6/18/08,305.2
6/19/08,306.43
6/20/08,300.83
6/23/08,300.73
6/24/08,299.5
6/25/08,301.33
6/26/08,292.63
6/27/08,291.52
6/30/08,291.61
7/1/08,292.65
7/2/08,286.93
7/3/08,286.85
7/7/08,284.43
7/8/08,289.56
7/9/08,283.14
7/10/08,285.09
7/11/08,282.24
7/14/08,279.63
7/15/08,276.67
7/16/08,283.69
7/17/08,287.16
7/18/08,287.14
7/21/08,287.22
7/22/08,291.2
7/23/08,292.32
7/24/08,285.35
7/25/08,286.6
7/28/08,281.44
7/29/08,287.99
7/30/08,292.62
7/31/08,288.81
8/1/08,287.35
8/4/08,284.49
8/5/08,292.49
8/6/08,293.58
8/7/08,288.44
8/8/08,295.34
8/11/08,297.62
8/12/08,294.13
8/13/08,293.47
8/14/08,295.16
8/15/08,296.23
8/18/08,291.81
8/19/08,289
8/20/08,290.68
8/21/08,291.27
8/22/08,294.58
8/25/08,288.76
8/26/08,289.86
8/27/08,292.31
8/28/08,296.69
8/29/08,292.72
9/2/08,291.42
9/3/08,290.77
9/4/08,282.21
9/5/08,283.42
9/8/08,289.06
9/9/08,279.11
9/10/08,281.09
9/11/08,284.67
9/12/08,285.49
9/15/08,272.21
9/16/08,277.18
9/17/08,264.26
9/18/08,276.03
9/19/08,287.12
9/22/08,275.89
9/23/08,271.7
9/24/08,270.8
9/25/08,275.84
9/26/08,276.46
9/29/08,252.8
9/30/08,265.96
10/1/08,264.6
10/2/08,253.5
10/3/08,249.73
10/6/08,240.04
10/7/08,226.34
10/8/08,223.68
10/9/08,206.66
10/10/08,204.84
10/13/08,228.14
10/14/08,226.46
10/15/08,205.87
10/16/08,214.68
10/17/08,213.31
10/20/08,223.35
10/21/08,216.53
10/22/08,203.4
10/23/08,205.07
10/24/08,198.06
10/27/08,191.52
10/28/08,211.65
10/29/08,209.98
10/30/08,215.77
10/31/08,219.52
11/3/08,219.04
11/4/08,227.44
11/5/08,215.48
11/6/08,204.84
11/7/08,210.59
11/10/08,207.65
11/11/08,203.06
11/12/08,192.44
11/13/08,206
11/14/08,197.07
11/17/08,192.21
11/18/08,193.82
11/19/08,181.69
11/20/08,169.37
11/21/08,179.99
11/24/08,191.79
11/25/08,193.27
11/26/08,200.48
11/28/08,202.42
12/1/08,183.9
12/2/08,191.43
12/3/08,196.37
12/4/08,190.55
12/5/08,197.7
12/8/08,205.3
12/9/08,200.46
12/10/08,203.14
12/11/08,196.9
12/12/08,198.8
12/15/08,195.95
12/16/08,206.24
12/17/08,204.7
12/18/08,200.43
12/19/08,201.18
12/22/08,197.39
12/23/08,195.45
12/24/08,196.56
12/26/08,197.78
12/29/08,196.75
12/30/08,201.78
12/31/08,204.93
1/2/09,211.16
1/5/09,210.2
1/6/09,212.04
1/7/09,205.59
1/8/09,206.38
1/9/09,201.75
1/12/09,197.1
1/13/09,197.63
1/14/09,190.85
1/15/09,191.45
1/16/09,193.02
1/20/09,182.61
1/21/09,190.62
1/22/09,187.52
1/23/09,188.57
1/26/09,189.66
1/27/09,191.79
1/28/09,198.31
1/29/09,191.65
1/30/09,187.24
2/2/09,187.25
2/3/09,190.03
2/4/09,188.7
2/5/09,191.77
2/6/09,197.15
2/9/09,197.31
2/10/09,187.7
2/11/09,189.08
2/12/09,189.49
2/13/09,187.65
2/17/09,179.17
2/18/09,178.78
2/19/09,176.57
2/20/09,174.61
2/23/09,168.44
2/24/09,175.25
2/25/09,173.26
2/26/09,170.47
2/27/09,166.75
3/2/09,158.75
3/3/09,157.67
3/4/09,161.5
3/5/09,154.5
3/6/09,154.58
3/9/09,152.99
3/10/09,162.81
3/11/09,163.21
3/12/09,170.03
3/13/09,171.31
3/16/09,170.5
3/17/09,176.08
3/18/09,179.98
3/19/09,177.75
3/20/09,174.03
3/23/09,186.44
3/24/09,182.47
3/25/09,184.34
3/26/09,188.99
3/27/09,185
3/30/09,178.59
3/31/09,180.99
4/1/09,183.9
4/2/09,189.52
4/3/09,191.52
4/6/09,189.79
4/7/09,185.05
4/8/09,187.34
4/9/09,194.89
4/13/09,195.31
4/14/09,191.23
4/15/09,193.66
4/16/09,196.95
4/17/09,198.1
4/20/09,189.36
4/21/09,193.63
4/22/09,192.4
4/23/09,193.97
4/24/09,197.45
4/27/09,195.36
4/28/09,195.02
4/29/09,199.45
4/30/09,199.23
5/1/09,200.1
5/4/09,207.05
5/5/09,206.15
5/6/09,209.51
5/7/09,206.49
5/8/09,211.7
5/11/09,207.11
5/12/09,206.64
5/13/09,200.65
5/14/09,202.87
5/15/09,200.59
5/18/09,206.88
5/19/09,206.57
5/20/09,205.47
5/21/09,202.01
5/22/09,201.59
5/26/09,207.24
5/27/09,203.3
5/28/09,206.23
5/29/09,209.09
6/1/09,214.78
6/2/09,215.3
6/3/09,212.33
6/4/09,214.85
6/5/09,214.32
6/8/09,213.95
6/9/09,214.83
6/10/09,214.01
6/11/09,215.27
6/12/09,215.49
6/15/09,210.3
6/16/09,207.53
6/17/09,207.32
6/18/09,209.02
6/19/09,209.72
6/22/09,203.14
