ACXM
ADSW
AETI
AGI
AHPI
AIN
AJRD
AKER
AKR
ALB
ALGT
ALN
ALNY
ALQA
ALV
ALX
AMDA
AMN
AMTX
ANAB
ANDX
ANSS
APHB
ARCI
ARCO
ARE
ARGS
ARI
ARMK
ARNC
ARRY
ARTW
ASML
ASX
ATOS
ATUS
AVGR
AVY
AWX
AXE
AY
AYTU
BAA
BBU
BDR
BEDU
BGS
BIG
BIP
BITA
BKYI
BLDR
BLL
BNSO
BNTC
BOSC
BR
BRC
BSPM
BURG
BWA
BWLD
CA
CADC
CAKE
CALM
CBPO
CCMP
CCOI
CDNS
CDW
CE
CEI
CENT
CHCI
CHD
CHFS
CHRW
CJ
CLDR
CLWT
CMS
CNET
CNP
COG
COKE
CPE
CPHI
CPRT
CPS
CQP
CSGP
CSOD
CTXS
CUK
CVE
CVG
CVO
CVRR
CWT
CX
CYTX
DCIX
DELT
DGX
DO
DOOR
DORM
DRH
DSGX
DVA
DYNT
ECA
EDN
EDU
ELSE
ELTK
EMN
ENIA
ENRJ
ENV
EPIX
EQT
ERIC
ESL
ESV
EXPD
EXR
FANG
FBHS
FCRE
FDP
FE
FELE
FFHL
FMC
FMI
FNV
FOE
FOLD
FORD
FORTY
FRSX
FTFT
FTI
GATX
GBR
GCP
GENE
GEVO
GLOW
GPC
GPOR
GPS
GRMN
GWW
HA
HAS
HBM
HCP
HEB
HEP
HII
HMG
HOLX
HSIC
HSNI
HYH
IBP
IDSA
IEX
IFON
IMMP
IMRN
IMUC
INGR
INOV
INPX
INSM
IPGP
IRM
IRWD
IT
IVR
JAGX
JBHT
JNPR
JOBS
JRJR
KMX
KONE
KOSS
KS
KSU
LAUR
LBIX
LEA
LGCYP
LINU
LNT
LOXO
LPI
LQ
LSXMK
LTBR
LULU
LXP
MARPS
MAS
MDGS
MELI
MGP
MICR
MICT
MKC
MLHR
MLI
MLM
MMSI
MNGA
MOSY
MRDN
MRO
MRVL
MSDI
MTFB
MTH
MTOR
MTP
MTSI
MTSL
MTX
MWA
MXC
MYGN
MYOS
NBL
NCLH
NEP
NEXA
NFEC
NLSN
NLY
NNDM
NSPR
NSYS
NTN
NURO
NVR
NVRO
OASM
ODFL
OGEN
ONTX
OPGN
ORBK
ORIG
ORPN
PAAS
PANW
PAY
PCH
PED
PEGI
PKG
PLAY
PLCE
PLXS
PNR
PNW
POWI
PQG
PRGO
PRPO
PVH
PW
PZRX
QEP
QLYS
QVCA
QVCB
RCON
RELV
REXR
REXX
RGSE
RH
RHE
RKDA
RLOG
RMD
RMGN
RMP
ROIC
ROKA
ROSG
RYAAY
SAM
SANM
SBH
SBOT
SCON
SEM
SEMG
SEP
SES
SFIX
SGLB
SGOC
SHPG
SIR
SJM
SM
SMIT
SMTC
SNDE
SNES
SNPS
SOFO
SPEX
SPLK
SQ
SSKN
STAF
STLY
STRP
STX
SUPN
SYNT
TAIT
TCCO
TDG
TDOC
TEAM
TECK
TELL
TENX
TGC
THST
TIK
TOPS
TPR
TR
TRMB
TROV
TROX
TRPX
TSRI
TTD
TTWO
TV
TWLO
UDR
UHS
ULTA
URI
USEG
UUU
VAR
VG
VHI
VIA
VIAB
VII
VNTR
VOD
VTGN
WAGE
WHR
WLK
WLL
WMGI
WMLP
WNS
WPCS
WUBA
WYN
XCO
XEC
XHR
XTLB
XTNT
XYL
YECO
YNDX
YTEN
ZTO
